Coral_ID,Genet_ID,Site_ID,Time_interval,Condition,Calcif_mg_cm2_d,del_SA_mm2_d,del_height_mm_d,,,,,,,
511,CF4,FWY,2,live,2.87,-1.9,0.000,,,,,,,
512,CN2,FWY,2,live,4.52,4.4,0.062,,,,,,,
513,ML2,FWY,2,dead,,,,,,,,,,
514,CF4,FWY,2,dead,,,,,,,,,,
515,HS1,FWY,2,live,2.16,1.8,0.033,,,,,,,
516,SN1,FWY,2,live,3.97,8.1,0.079,,,,,,,
518,CN2,FWY,2,dead,,,,,,,,,,
519,ML2,FWY,2,live,4.91,3.2,0.074,,,,,,,
999,SN1,FWY,2,lost,,,,,,,,,,
540,DT1,PLW,3,live,6.78,45.2,0.082,,,,,,,
541,CN2,PLW,3,live,7.18,42.4,0.094,,,,,,,
542,SN1,PLW,3,live,6.82,78.6,0.038,,,,,,,
543,DT1,PLW,3,live,6.53,37.0,0.146,,,,,,,
544,CF4,PLW,3,live,6.68,34.1,0.064,,,,,,,
545,HS1,PLW,3,live,7.07,28.6,0.113,,,,,,,
546,HS1,PLW,3,live,5.72,18.6,0.102,,,,,,,
547,CF4,PLW,3,live,6.26,28.1,0.106,,,,,,,
548,CN2,PLW,3,live,9.19,122.3,0.129,,,,,,,
549,SN1,PLW,3,live,4.22,7.1,0.035,,,,,,,
555,ML2,PLW,3,live,7.47,18.3,0.149,,,,,,,
558,ML2,PLW,3,live,7.23,13.4,0.200,,,,,,,
520,SN1,PLS,3,live,8.35,44.2,0.098,,,,,,,
521,HS1,PLS,3,live,11.48,90.7,0.110,,,,,,,
522,SN1,PLS,3,live,8.70,67.7,0.136,,,,,,,
523,CF4,PLS,3,live,8.58,24.6,0.100,,,,,,,
524,CN2,PLS,3,live,7.31,34.2,0.129,,,,,,,
525,DT1,PLS,3,live,8.91,64.5,0.170,,,,,,,
526,DT1,PLS,3,live,9.22,31.1,0.207,,,,,,,
527,CF4,PLS,3,live,7.52,49.8,0.079,,,,,,,
528,CN2,PLS,3,live,10.11,99.4,0.078,,,,,,,
529,HS1,PLS,3,live,12.50,78.0,0.132,,,,,,,
550,ML2,PLS,3,live,8.91,13.3,0.179,,,,,,,
551,ML2,PLS,3,live,7.73,9.3,0.211,,,,,,,
530,HS1,SMK,3,live,11.12,16.4,0.173,,,,,,,
531,HS1,SMK,3,dead,,,,,,,,,,
532,SN1,SMK,3,dead,,,,,,,,,,
533,CN2,SMK,3,dead,,,,,,,,,,
534,CN2,SMK,3,live,6.76,4.3,0.082,,,,,,,
535,CF4,SMK,3,live,6.31,11.0,0.078,,,,,,,
536,SN1,SMK,3,live,5.35,6.8,0.102,,,,,,,
537,CF4,SMK,3,dead,,,,,,,,,,
538,ML2,SMK,3,dead,,,,,,,,,,
539,ML2,SMK,3,dead,,,,,,,,,,
500,CN2,CRK,3,live,6.83,11.8,0.100,,,,,,,
501,HS1,CRK,3,live,5.95,7.6,0.056,,,,,,,
502,CN2,CRK,3,live,2.47,0.6,0.007,,,,,,,
503,CF4,CRK,3,dead,,,,,,,,,,
504,HS1,CRK,3,live,6.44,7.2,0.052,,,,,,,
505,SN1,CRK,3,live,5.87,6.9,0.020,,,,,,,
506,SN1,CRK,3,live,2.80,1.2,-0.010,,,,,,,
507,CF4,CRK,3,lost,,,,,,,,,,
508,ML2,CRK,3,live,4.44,7.2,0.028,,,,,,,
509,ML2,CRK,3,live,5.71,11.5,0.042,,,,,,,
510,HS1,FWY,3,dead,,,,,,,,,,
511,CF4,FWY,3,live,3.09,2.5,0.050,,,,,,,
512,CN2,FWY,3,dead,,,,,,,,,,
513,ML2,FWY,3,dead,,,,,,,,,,
514,CF4,FWY,3,dead,,,,,,,,,,
515,HS1,FWY,3,live,5.53,7.9,0.066,,,,,,,
516,SN1,FWY,3,dead,,,,,,,,,,
518,CN2,FWY,3,dead,,,,,,,,,,
519,ML2,FWY,3,live,4.43,5.3,0.037,,,,,,,
999,SN1,FWY,3,lost,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
