Region,Reef,Plot,TagID,Q,L,W,H,% Live,Colony Type,Isolates,RM Rank,RM1,RM2,RM3,Bleach Rank,R Present,W Present,Dmsl Rank,Snail Count,TS df,TS df juv,YT df,YT df juv
Florida Keys,French Reef,FR1,FR1-t006,01,180,145,90,85%,BC,,2,WPx,FS,none,0,N,N,1,4,1,0,0,0
Florida Keys,French Reef,FR1,FR1-t007,01,45,35,35,75%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,French Reef,FR1,FR1-t008,01,170,90,51,75%,BC,,4,RTL,FS,none,1,N,N,2,1,4,0,0,0
Florida Keys,French Reef,FR1,FR1-t009,01,205,165,70,80%,BC,,2,FP,none,none,0,N,N,1,0,2,0,0,0
Florida Keys,French Reef,FR1,FR1-t010,01,60,56,42,50%,BC,,0,none,none,none,0,N,N,0,0,1,0,0,0
Florida Keys,French Reef,FR1,FR1-t011,01,4,4,2,100%,EC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,French Reef,FR1,FR1-t012,01,18,15,16,95%,JC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t101,01,135,65,70,20%,BC,,1,RTL,FS,none,0,N,N,1,2,1,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t102,01,155,110,65,60%,BC,,1,CL,none,none,0,N,N,1,1,1,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t103,01,135,70,60,85%,BC,,0,none,none,none,2,N,N,2,1,1,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t104,01,125,90,70,90%,BC,,0,none,none,none,0,N,N,1,0,2,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t105,01,220,158,94,45%,BC,,0,none,none,none,0,N,N,1,0,1,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t106,01,165,80,55,75%,BC,,0,none,none,none,0,N,N,1,0,1,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t107,01,110,78,60,80%,BC,,0,none,none,none,0,N,N,2,0,2,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t108,01,170,120,93,60%,BC,,0,none,none,none,0,N,N,2,0,2,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t109,01,73,56,50,20%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t110,01,205,125,80,45%,BC,,1,FP,PFB,none,0,N,N,1,0,2,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t111,01,79,50,45,90%,BC,,0,none,none,none,0,N,N,0,2,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t112,01,45,34,22,90%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL1,KL1-t113,01,85,50,50,15%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t114,01,43,35,30,60%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t115,01,20,18,17,40%,EC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t116,01,13,7,10,100%,EC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t117,01,95,55,40,25%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t118,01,92,60,70,70%,BC,,0,none,none,none,,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t119,01,70,45,65,70%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t120,01,60,60,50,30%,BC,,1,RTL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t121,01,20,15,15,95%,JC,,3,RTL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t122,01,18,16,20,100%,JC,,0,none,none,none,,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t123,01,95,63,55,75%,BC,,1,FS,none,none,0,N,N,0,7,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t124,01,35,28,30,98%,JC,,0,none,none,none,,N,N,0,0,0,0,0,0
Florida Keys,Key Largo Dry Rocks,KL2,KL2-t125,01,23,22,33,30%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t013,01,135,100,75,85%,BC,,0,none,none,none,0,N,Y,1,1,1,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t014,01,110,100,40,70%,BC,,1,FS,none,none,0,N,N,1,12,2,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t015,01,35,34,30,90%,JC,,2,CL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t016,01,75,62,42,85%,BC,,2,FS,none,none,0,N,N,0,3,0,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t017,01,80,75,50,70%,BC,,0,none,none,none,0,N,N,3,0,1,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t018,01,200,145,100,90%,BC,,0,none,none,none,0,N,N,2,0,2,1,1,2
Florida Keys,Molasses Reef,ML1,ML1-t019,01,15,9,7,100%,AF,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t020,01,230,140,105,45%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t021,01,10,8,9,100%,JC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML1,ML1-t022,01,20,15,24,100%,JC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t126,01,270,190,130,40%,BC,,1,FS,none,none,0,N,N,0,16,4,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t127,01,32,30,35,90%,JC,,0,none,none,none,0,Y,N,0,0,1,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t128,01,30,22,15,98%,EC,,0,none,none,none,0,Y,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t129,01,175,175,95,45%,BC,,1,FS,none,none,0,N,N,2,5,2,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t130,01,165,90,70,65%,BC,,3,FS,none,none,0,Y,N,3,15,1,1,0,0
Florida Keys,Molasses Reef,ML2,ML2-t131,01,185,120,65,70%,BC,,1,FS,none,none,0,Y,N,0,1,1,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t132,01,190,83,72,80%,BC,,0,none,none,none,0,Y,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t133,01,10,9,4,99%,EC,,4,PFB,none,none,2,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t134,01,60,50,30,40%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t135,01,45,36,42,98%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t136,01,37,33,20,90%,AF,,0,none,none,none,1,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t137,01,45,45,35,15%,RC,,0,none,none,none,0,Y,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t138,01,39,30,12,5%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t139,01,11,10,9,75%,JC,,1,CL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t140,01,21,16,11,75%,AF,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t141,01,37,25,18,90%,JC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t142,01,35,35,35,25%,RC,,0,none,none,none,0,N,N,0,0,1,0,0,0
Florida Keys,Molasses Reef,ML2,ML2-t143,01,16,15,15,40%,RC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t144,01,135,110,80,85%,BC,,2,FS,CB,none,0,N,N,0,8,0,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t145,01,100,78,50,100%,BC,,0,none,none,none,0,Y,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t146,01,130,95,75,85%,BC,,0,none,none,none,0,Y,N,1,2,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t147,01,240,210,75,70%,BC,,1,FS,none,none,0,Y,N,2,7,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t148,01,97,70,55,98%,BC,,5,FS,none,none,0,Y,Y,2,5,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t150,01,31,22,21,100%,JC,,0,none,none,none,0,N,N,1,0,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t151,01,190,115,65,75%,BC,,1,FS,none,none,0,Y,N,0,4,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t152,01,90,85,40,100%,BC,,0,none,none,none,2,N,Y,1,0,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t184,01,180,160,75,99%,BC,,1,FP,none,none,0,N,N,0,0,1,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t185,01,11,11,6,100%,EC,,0,none,none,none,0,Y,N,0,0,0,0,0,0
Florida Keys,Molasses Reef,ML3,ML3-t186,01,25,22,10,95%,JC,,0,none,none,none,0,Y,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t023,02,75,60,58,50%,BC,,1,WPx,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t024,02,76,60,52,70%,BC,,1,RTL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t025,02,85,75,52,80%,BC,,4,FS,none,none,0,N,N,0,11,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t026,02,9,8,8,100%,JC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t027,02,140,105,107,30%,BC,,1,RTL,WPx,none,0,N,N,0,0,0,0,1,0
Florida Keys,Carysfort Reef,CF1,CF1-t028,02,37,20,30,70%,JC,,3,WPx,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t029,02,113,80,95,80%,BC,,2,RTL,WPx,FS,0,N,N,0,1,0,0,1,1
Florida Keys,Carysfort Reef,CF1,CF1-t030,02,15,13,14,100%,JC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t031,02,135,95,75,40%,BC,,2,WPx,FS,none,0,N,N,0,3,0,0,1,0
Florida Keys,Carysfort Reef,CF1,CF1-t032,02,90,40,70,10%,RC,,1,RTL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t033,02,240,123,120,65%,BC,,1,WPx,FS,none,0,N,N,0,4,1,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t034,02,63,62,80,80%,BC,,4,RTL,WPx,none,0,N,N,0,0,1,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t035,02,5,5,1,100%,EC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF1,CF1-t036,02,120,80,60,10%,RC,,1,RTL,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF2,CF2-t038,02,220,180,90,40%,BC,,1,FS,RTL,CB,0,N,N,1,10,1,0,1,0
Florida Keys,Carysfort Reef,CF2,CF2-t039,02,103,90,60,75%,BC,,1,FS,CL,none,0,N,N,0,8,0,0,1,0
Florida Keys,Carysfort Reef,CF2,CF2-t040,02,130,85,55,65%,BC,,1,WPx,CL,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF2,CF2-t041,02,115,55,75,35%,BC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF2,CF2-t042,02,45,33,10,55%,EC,,0,none,none,none,0,N,N,0,0,0,0,0,0
Florida Keys,Carysfort Reef,CF2,CF2-t043,02,117,85,63,99%,BC,,5,WPx,none,none,0,N,N,0,0,0,0,2,0
