treatment,nursery,line,species,depth,coral.id,colony,harvest.year,year,survival,colony.group,colony.depth,colony.year
CastawayYear 3,Castaway,11,APAL,10.5,134,372,2,Year 3,1,Rocky2,Rocky210.5,Rocky2Year 3
CastawayYear 1,Castaway,11,APAL,10.5,161,260,Not Harvested,Year 1,1,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,11,APAL,10.5,161,260,Not Harvested,Year 2,1,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,11,APAL,10.5,161,260,Not Harvested,Year 3,1,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,11,APAL,10.5,164,260,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,11,APAL,10.5,164,260,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,11,APAL,10.5,164,260,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,11,APAL,10.5,177,363,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,11,APAL,10.5,177,363,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,11,APAL,10.5,177,363,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,11,APAL,10.5,180,363,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,11,APAL,10.5,180,363,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,11,APAL,10.5,180,363,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,11,APAL,10.5,197,253,2,Year 1,1,Gorda,Gorda10.5,GordaYear 1
CastawayYear 2,Castaway,11,APAL,10.5,197,253,2,Year 2,1,Gorda,Gorda10.5,GordaYear 2
CastawayYear 3,Castaway,11,APAL,10.5,197,253,2,Year 3,1,Gorda,Gorda10.5,GordaYear 3
CastawayYear 1,Castaway,11,APAL,10.5,198,253,Not Harvested,Year 1,1,Gorda,Gorda10.5,GordaYear 1
CastawayYear 2,Castaway,11,APAL,10.5,198,253,Not Harvested,Year 2,1,Gorda,Gorda10.5,GordaYear 2
CastawayYear 3,Castaway,11,APAL,10.5,198,253,Not Harvested,Year 3,1,Gorda,Gorda10.5,GordaYear 3
CastawayYear 1,Castaway,11,APAL,10.5,251,475,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,11,APAL,10.5,251,475,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,11,APAL,10.5,251,475,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,11,APAL,10.5,252,475,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,11,APAL,10.5,252,475,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,11,APAL,10.5,252,475,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,12,ACER,10.5,3,266,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,12,ACER,10.5,3,266,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,12,ACER,10.5,3,266,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,12,ACER,10.5,5,266,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,12,ACER,10.5,5,266,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,12,ACER,10.5,5,266,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,12,ACER,10.5,13,266,,Year 1,0,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,12,ACER,10.5,13,266,,Year 2,0,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,12,ACER,10.5,13,266,,Year 3,0,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,12,APAL,10.5,56,251,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,12,APAL,10.5,56,251,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,12,APAL,10.5,56,251,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,12,APAL,10.5,63,251,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,12,APAL,10.5,63,251,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,12,APAL,10.5,63,251,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,12,ACER,10.5,97,548,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,12,ACER,10.5,97,548,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,12,ACER,10.5,97,548,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,12,ACER,10.5,112,548,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
CastawayYear 2,Castaway,12,ACER,10.5,112,548,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
CastawayYear 3,Castaway,12,ACER,10.5,112,548,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
CastawayYear 1,Castaway,12,APAL,10.5,143,372,Not Harvested,Year 1,1,Rocky2,Rocky210.5,Rocky2Year 1
CastawayYear 2,Castaway,12,APAL,10.5,143,372,Not Harvested,Year 2,1,Rocky2,Rocky210.5,Rocky2Year 2
CastawayYear 3,Castaway,12,APAL,10.5,143,372,Not Harvested,Year 3,1,Rocky2,Rocky210.5,Rocky2Year 3
CastawayYear 1,Castaway,12,APAL,10.5,181,363,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,12,APAL,10.5,181,363,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,12,APAL,10.5,181,363,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,12,APAL,10.5,184,363,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,12,APAL,10.5,184,363,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,12,APAL,10.5,184,363,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,12,APAL,10.5,207,253,Not Harvested,Year 1,1,Gorda,Gorda10.5,GordaYear 1
CastawayYear 2,Castaway,12,APAL,10.5,207,253,Not Harvested,Year 2,1,Gorda,Gorda10.5,GordaYear 2
CastawayYear 3,Castaway,12,APAL,10.5,207,253,Not Harvested,Year 3,1,Gorda,Gorda10.5,GordaYear 3
CastawayYear 1,Castaway,12,APAL,10.5,208,253,2,Year 1,1,Gorda,Gorda10.5,GordaYear 1
CastawayYear 2,Castaway,12,APAL,10.5,208,253,2,Year 2,1,Gorda,Gorda10.5,GordaYear 2
CastawayYear 3,Castaway,12,APAL,10.5,208,253,2,Year 3,1,Gorda,Gorda10.5,GordaYear 3
CastawayYear 1,Castaway,12,APAL,10.5,245,475,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,12,APAL,10.5,245,475,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,12,APAL,10.5,245,475,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,12,APAL,10.5,248,475,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
CastawayYear 2,Castaway,12,APAL,10.5,248,475,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
CastawayYear 3,Castaway,12,APAL,10.5,248,475,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
CastawayYear 1,Castaway,12,APAL,10.5,,260,,Year 1,0,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,12,APAL,10.5,,260,,Year 2,0,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,12,APAL,10.5,,260,,Year 3,0,Midway,Midway10.5,MidwayYear 3
CastawayYear 1,Castaway,12,APAL,10.5,,260,,Year 1,0,Midway,Midway10.5,MidwayYear 1
CastawayYear 2,Castaway,12,APAL,10.5,,260,,Year 2,0,Midway,Midway10.5,MidwayYear 2
CastawayYear 3,Castaway,12,APAL,10.5,,260,,Year 3,0,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,27,258,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,27,258,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,27,258,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,28,258,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,28,258,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,28,258,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,13,ACER,10.5,43,268,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,13,ACER,10.5,43,268,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,13,ACER,10.5,43,268,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,13,ACER,10.5,44,268,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,13,ACER,10.5,44,268,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,13,ACER,10.5,44,268,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,13,ACER,10.5,75,530,2,Year 1,1,530,53010.5,530Year 1
GlassbottomYear 2,Glassbottom,13,ACER,10.5,75,530,2,Year 2,1,530,53010.5,530Year 2
GlassbottomYear 3,Glassbottom,13,ACER,10.5,75,530,2,Year 3,1,530,53010.5,530Year 3
GlassbottomYear 1,Glassbottom,13,ACER,10.5,76,530,2,Year 1,1,530,53010.5,530Year 1
GlassbottomYear 2,Glassbottom,13,ACER,10.5,76,530,2,Year 2,1,530,53010.5,530Year 2
GlassbottomYear 3,Glassbottom,13,ACER,10.5,76,530,2,Year 3,0,530,53010.5,530Year 3
GlassbottomYear 1,Glassbottom,13,ACER,10.5,85,272,2,Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,13,ACER,10.5,85,272,2,Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,13,ACER,10.5,85,272,2,Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,13,ACER,10.5,86,272,Not Harvested,Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,13,ACER,10.5,86,272,Not Harvested,Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,13,ACER,10.5,86,272,Not Harvested,Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,115,256,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,115,256,2,Year 2,1,Rocky,Rocky10.5,RockyYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,115,256,2,Year 3,1,Rocky,Rocky10.5,RockyYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,126,256,2,Year 1,1,Rocky,Rocky10.5,RockyYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,126,256,2,Year 2,0,Rocky,Rocky10.5,RockyYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,126,256,2,Year 3,0,Rocky,Rocky10.5,RockyYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,151,260,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,151,260,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,151,260,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,152,260,2,Year 1,1,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,152,260,2,Year 2,1,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,152,260,2,Year 3,1,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,212,401,2,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,212,401,2,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,212,401,2,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,220,401,2,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,220,401,2,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,220,401,2,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,228,369,2,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,228,369,2,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,228,369,2,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,13,APAL,10.5,238,369,2,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,13,APAL,10.5,238,369,2,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,13,APAL,10.5,238,369,2,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,29,258,1,Year 1,1,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,29,258,1,Year 2,1,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,29,258,1,Year 3,1,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,30,258,1,Year 1,1,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,30,258,1,Year 2,1,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,30,258,1,Year 3,1,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,14,ACER,10.5,47,268,"1,2",Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,14,ACER,10.5,47,268,"1,2",Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,14,ACER,10.5,47,268,"1,2",Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,14,ACER,10.5,48,268,1,Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,14,ACER,10.5,48,268,1,Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,14,ACER,10.5,48,268,1,Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,14,ACER,10.5,77,530,"1,2",Year 1,1,530,53010.5,530Year 1
GlassbottomYear 2,Glassbottom,14,ACER,10.5,77,530,"1,2",Year 2,1,530,53010.5,530Year 2
GlassbottomYear 3,Glassbottom,14,ACER,10.5,77,530,"1,2",Year 3,1,530,53010.5,530Year 3
GlassbottomYear 1,Glassbottom,14,ACER,10.5,79,530,"1,2",Year 1,1,530,53010.5,530Year 1
GlassbottomYear 2,Glassbottom,14,ACER,10.5,79,530,"1,2",Year 2,1,530,53010.5,530Year 2
GlassbottomYear 3,Glassbottom,14,ACER,10.5,79,530,"1,2",Year 3,1,530,53010.5,530Year 3
GlassbottomYear 1,Glassbottom,14,ACER,10.5,81,272,"1,2",Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,14,ACER,10.5,81,272,"1,2",Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,14,ACER,10.5,81,272,"1,2",Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,14,ACER,10.5,82,272,1,Year 1,1,ACER1,ACER110.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,14,ACER,10.5,82,272,1,Year 2,1,ACER1,ACER110.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,14,ACER,10.5,82,272,1,Year 3,1,ACER1,ACER110.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,113,256,1,Year 1,1,Rocky,Rocky10.5,RockyYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,113,256,1,Year 2,1,Rocky,Rocky10.5,RockyYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,113,256,1,Year 3,1,Rocky,Rocky10.5,RockyYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,128,256,1,Year 1,1,Rocky,Rocky10.5,RockyYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,128,256,1,Year 2,1,Rocky,Rocky10.5,RockyYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,128,256,1,Year 3,1,Rocky,Rocky10.5,RockyYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,145,260,,Year 1,0,Midway,Midway10.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,145,260,,Year 2,0,Midway,Midway10.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,145,260,,Year 3,0,Midway,Midway10.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,221,401,1,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,221,401,1,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,221,401,1,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,222,401,1,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,222,401,1,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,222,401,1,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,227,369,1,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,227,369,1,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,227,369,1,Year 3,1,unknown,unknown10.5,unknownYear 3
GlassbottomYear 1,Glassbottom,14,APAL,10.5,233,369,1,Year 1,1,unknown,unknown10.5,unknownYear 1
GlassbottomYear 2,Glassbottom,14,APAL,10.5,233,369,1,Year 2,1,unknown,unknown10.5,unknownYear 2
GlassbottomYear 3,Glassbottom,14,APAL,10.5,233,369,1,Year 3,1,unknown,unknown10.5,unknownYear 3
CastawayYear 1,Castaway,21,ACER,9,10,266,2,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,21,ACER,9,10,266,2,Year 2,1,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,21,ACER,9,10,266,2,Year 3,1,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,21,ACER,9,13,266,Not Harvested,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,21,ACER,9,13,266,Not Harvested,Year 2,1,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,21,ACER,9,13,266,Not Harvested,Year 3,1,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,21,APAL,9,51,251,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,21,APAL,9,51,251,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,21,APAL,9,51,251,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,21,APAL,9,55,251,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,21,APAL,9,55,251,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,21,APAL,9,55,251,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,21,ACER,9,109,548,2,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,21,ACER,9,109,548,2,Year 2,1,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,21,ACER,9,109,548,2,Year 3,1,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,21,ACER,9,110,548,2,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,21,ACER,9,110,548,2,Year 2,1,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,21,ACER,9,110,548,2,Year 3,1,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,21,APAL,9,137,372,2,Year 1,1,Rocky2,Rocky29,Rocky2Year 1
CastawayYear 2,Castaway,21,APAL,9,137,372,2,Year 2,1,Rocky2,Rocky29,Rocky2Year 2
CastawayYear 3,Castaway,21,APAL,9,137,372,2,Year 3,1,Rocky2,Rocky29,Rocky2Year 3
CastawayYear 1,Castaway,21,APAL,9,138,372,2,Year 1,1,Rocky2,Rocky29,Rocky2Year 1
CastawayYear 2,Castaway,21,APAL,9,138,372,2,Year 2,1,Rocky2,Rocky29,Rocky2Year 2
CastawayYear 3,Castaway,21,APAL,9,138,372,2,Year 3,1,Rocky2,Rocky29,Rocky2Year 3
CastawayYear 1,Castaway,21,APAL,9,163,260,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,21,APAL,9,163,260,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,21,APAL,9,163,260,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,21,APAL,9,170,260,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,21,APAL,9,170,260,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,21,APAL,9,170,260,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,21,APAL,9,178,363,2,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,21,APAL,9,178,363,2,Year 2,1,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,21,APAL,9,178,363,2,Year 3,1,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,21,APAL,9,187,363,2,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,21,APAL,9,187,363,2,Year 2,1,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,21,APAL,9,187,363,2,Year 3,1,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,21,APAL,9,193,253,2,Year 1,1,Gorda,Gorda9,GordaYear 1
CastawayYear 2,Castaway,21,APAL,9,193,253,2,Year 2,1,Gorda,Gorda9,GordaYear 2
CastawayYear 3,Castaway,21,APAL,9,193,253,2,Year 3,1,Gorda,Gorda9,GordaYear 3
CastawayYear 1,Castaway,21,APAL,9,194,253,Not Harvested,Year 1,1,Gorda,Gorda9,GordaYear 1
CastawayYear 2,Castaway,21,APAL,9,194,253,Not Harvested,Year 2,1,Gorda,Gorda9,GordaYear 2
CastawayYear 3,Castaway,21,APAL,9,194,253,Not Harvested,Year 3,1,Gorda,Gorda9,GordaYear 3
CastawayYear 1,Castaway,21,APAL,9,250,475,2,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,21,APAL,9,250,475,2,Year 2,1,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,21,APAL,9,250,475,2,Year 3,1,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,21,APAL,9,254,475,2,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,21,APAL,9,254,475,2,Year 2,1,Rocky,Rocky9,RockyYear 2
