pmid,first_author,year,title,journal,doi
35287349,Merck,2022,Optimizing seawater temperature conditions to increase the productivity of ,PeerJ,10.7717/peerj.13017
34493583,Hagedorn,2021,Assisted gene flow using cryopreserved sperm in critically endangered coral.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2110559118
34119965,Bayless,2021,"Trace element proxies and stable isotopes used to identify water quality threats to elkhorn coral (Acropora palmata) at two national parks in St. Croix, USVI.",Marine pollution bulletin,10.1016/j.marpolbul.2021.112575
33964051,Reich,2021,Genomic variation of an endosymbiotic dinoflagellate (Symbiodinium 'fitti') among closely related coral hosts.,Molecular ecology,10.1111/mec.15952
33342999,Babbin,2021,Discovery and quantification of anaerobic nitrogen metabolisms among oxygenated tropical Cuban stony corals.,The ISME journal,10.1038/s41396-020-00845-2
33091033,Young,2020,Innate immune gene expression in Acropora palmata is consistent despite variance in yearly disease events.,PloS one,10.1371/journal.pone.0228514
32710518,Allgeier,2020,Rewiring coral: Anthropogenic nutrients shift diverse coral-symbiont nutrient and carbon interactions toward symbiotic algal dominance.,Global change biology,10.1111/gcb.15230
32426458,Cramer,2020,Widespread loss of Caribbean acroporid corals was underway before coral bleaching and disease outbreaks.,Science advances,10.1126/sciadv.aax9395
32127622,Antonio-Martínez,2020,Leachate effects of pelagic Sargassum spp. on larval swimming behavior of the coral Acropora palmata.,Scientific reports,10.1038/s41598-020-60864-z
32095328,Weil,2020,Growth dynamics in ,PeerJ,10.7717/peerj.8435
31998555,Stathakopoulos,2020,"A revised Holocene coral sea-level database from the Florida reef tract, USA.",PeerJ,10.7717/peerj.8350
31797896,Rosales,2019,Microbiome differences in disease-resistant vs. susceptible Acropora corals subjected to disease challenge assays.,Scientific reports,10.1038/s41598-019-54855-y
31394568,Sánchez-Quinto,2019,Metagenome of Acropora palmata coral rubble: Potential metabolic pathways and diversity in the reef ecosystem.,PloS one,10.1371/journal.pone.0220117
31282031,Durante,2019,What drives phenotypic divergence among coral clonemates of Acropora palmata?,Molecular ecology,10.1111/mec.15140
31179987,Speare,2019,Sediment associated with algal turfs inhibits the settlement of two endangered coral species.,Marine pollution bulletin,10.1016/j.marpolbul.2019.04.066
31170313,Toth,2019,The unprecedented loss of Florida's reef-building corals and the emergence of a novel coral-reef assemblage.,Ecology,10.1002/ecy.2781
30993053,Miller,2019,Genotypic variation in disease susceptibility among cultured stocks of elkhorn and staghorn corals.,PeerJ,10.7717/peerj.6751
30914426,Kitchen,2019,Genomic Variants Among Threatened ,"G3 (Bethesda, Md.)",10.1534/g3.119.400125
30830472,Vohsen,2019,Metabolomic richness and fingerprints of deep-sea coral species and populations.,Metabolomics : Official journal of the Metabolomic Society,10.1007/s11306-019-1500-y
30809452,Hernández-Fernández,2019,Distribution and status of living colonies of ,PeerJ,10.7717/peerj.6470
29910975,González-Gómez,2018,Diversity and abundance of conspicuous macrocrustaceans on coral reefs differing in level of degradation.,PeerJ,10.7717/peerj.4922
29553820,Ross,2017,Interspecific Variation in Coral Settlement and Fertilization Success in Response to Hydrogen Peroxide Exposure.,The Biological bulletin,10.1086/696215
29181279,Devlin-Durante,2017,"Genome-wide survey of single-nucleotide polymorphisms reveals fine-scale population structure and signs of selection in the threatened Caribbean elkhorn coral, ",PeerJ,10.7717/peerj.4077
29079623,Kemp,2018,Abundance and Multilocus Sequence Analysis of Vibrio Bacteria Associated with Diseased Elkhorn Coral (Acropora palmata) of the Florida Keys.,Applied and environmental microbiology,10.1128/AEM.01035-17
28751030,Williams,2017,"Thermal stress exposure, bleaching response, and mortality in the threatened coral Acropora palmata.",Marine pollution bulletin,10.1016/j.marpolbul.2017.07.001
27671533,Devlin-Durante,2016,How old are you? Genet age estimates in a clonal animal.,Molecular ecology,10.1111/mec.13865
27703862,Miller,2016,Reef-scale trends in Florida ,PeerJ,10.7717/peerj.2523
27194698,Camp,2016,Acclimatization to high-variance habitats does not enhance physiological tolerance of two key Caribbean corals to future temperature and pH.,Proceedings. Biological sciences,10.1098/rspb.2016.0442
27105725,Ricaurte,2016,"Proteomic analysis of bleached and unbleached Acropora palmata, a threatened coral species of the Caribbean.",Marine pollution bulletin,10.1016/j.marpolbul.2016.03.068
26880837,Sutherland,2016,"Shifting white pox aetiologies affecting Acropora palmata in the Florida Keys, 1994-2014.","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",10.1098/rstb.2015.0205
26839742,Croquer,2016,"Is Acropora palmata recovering? A case study in Los Roques National Park, Venezuela.",PeerJ,10.7717/peerj.1539
26784329,Libro,2016,Genetic Signature of Resistance to White Band Disease in the Caribbean Staghorn Coral Acropora cervicornis.,PloS one,10.1371/journal.pone.0146636
26745888,,2016,Correction: Spatial Homogeneity of Bacterial Communities Associated with the Surface Mucus Layer of the Reef-Building Coral Acropora palmata.,PloS one,10.1371/journal.pone.0146987
26705570,Beltrán,2016,Microbial composition of biofilms associated with lithifying rubble of Acropora palmata branches.,FEMS microbiology ecology,10.1093/femsec/fiv162
26659364,Kemp,2015,Spatial Homogeneity of Bacterial Communities Associated with the Surface Mucus Layer of the Reef-Building Coral Acropora palmata.,PloS one,10.1371/journal.pone.0143790
26497873,Parkinson,2015,Intraspecific diversity among partners drives functional variation in coral symbioses.,Scientific reports,10.1038/srep15667
26451236,Meyer,2015,Draft genome sequence of Halomonas meridiana R1t3 isolated from the surface microbiota of the Caribbean Elkhorn coral Acropora palmata.,Standards in genomic sciences,10.1186/s40793-015-0069-y
26241853,Gignoux-Wolfsohn,2015,Identification of Candidate Coral Pathogens on White Band Disease-Infected Staghorn Coral.,PloS one,10.1371/journal.pone.0134416
26085704,Mège,2015,"Genetic seascape of the threatened Caribbean elkhorn coral, ","Marine ecology (Berlin, Germany)",10.1111/maec.12135
25911491,Joyner,2015,Systematic Analysis of White Pox Disease in Acropora palmata of the Florida Keys and Role of Serratia marcescens.,Applied and environmental microbiology,10.1128/AEM.00116-15
25519925,Hemond,2014,The genetics of colony form and function in Caribbean Acropora corals.,BMC genomics,10.1186/1471-2164-15-1133
25469321,Williams,2014,Removal of corallivorous snails as a proactive tool for the conservation of acroporid corals.,PeerJ,10.7717/peerj.680
25372835,Muller,2014,"Genetic susceptibility, colony size, and water temperature drive white-pox disease on the coral Acropora palmata.",PloS one,10.1371/journal.pone.0110759
25155714,Santos,2014,Expanding the population genetic perspective of cnidarian-Symbiodinium symbioses.,Molecular ecology,10.1111/mec.12865
24983533,Krediet,2014,"Interactions between the tropical sea anemone Aiptasia pallida and Serratia marcescens, an opportunistic pathogen of corals.",Environmental microbiology reports,10.1111/1758-2229.12151
24943374,Sweet,2014,Experimental antibiotic treatment identifies potential pathogens of white band disease in the endangered Caribbean coral Acropora cervicornis.,Proceedings. Biological sciences,10.1098/rspb.2014.0094
24909707,Baums,2014,New insights into the dynamics between reef corals and their associated dinoflagellate endosymbionts from population genetic studies.,Molecular ecology,10.1111/mec.12788
24850918,Sneed,2014,The chemical cue tetrabromopyrrole from a biofilm bacterium induces settlement of multiple Caribbean corals.,Proceedings. Biological sciences,10.1098/rspb.2013.3086
24763319,Rodríguez-Martínez,2014,Assessment of Acropora palmata in the Mesoamerican Reef System.,PloS one,10.1371/journal.pone.0096140
24597458,Lesser,2014,Culture-dependent and culture-independent analyses reveal no prokaryotic community shifts or recovery of Serratia marcescens in Acropora palmata with white pox disease.,FEMS microbiology ecology,10.1111/1574-6941.12311
24375136,Joyner,2014,Use of quantitative real-time PCR for direct detection of serratia marcescens in marine and other aquatic environments.,Applied and environmental microbiology,10.1128/AEM.02755-13
24370863,Frydenborg,2014,Temperature-dependent inhibition of opportunistic Vibrio pathogens by native coral commensal bacteria.,Microbial ecology,10.1007/s00248-013-0334-9
24260438,Kirk,2013,Tracking transmission of apicomplexan symbionts in diverse Caribbean corals.,PloS one,10.1371/journal.pone.0080618
23331636,Polato,2013,Variation in the transcriptional response of threatened coral larvae to elevated temperatures.,Molecular ecology,10.1111/mec.12163
23278392,Krediet,2013,Characterization of the gacA-dependent surface and coral mucus colonization by an opportunistic coral pathogen Serratia marcescens PDL100.,FEMS microbiology ecology,10.1111/1574-6941.12064
23254513,Krediet,2013,Members of native coral microbiota inhibit glycosidases and thwart colonization of coral mucus by an opportunistic pathogen.,The ISME journal,10.1038/ismej.2012.164
23227169,Mason,2012,Evidence for multiple phototransduction pathways in a reef-building coral.,PloS one,10.1371/journal.pone.0050371
23133600,Johnston,2012,Assessment of host-associated genetic differentiation among phenotypically divergent populations of a coral-eating gastropod across the Caribbean.,PloS one,10.1371/journal.pone.0047630
22994626,Aranda,2012,Evolutionary insights into scleractinian corals using comparative genomic hybridizations.,BMC genomics,10.1186/1471-2164-13-501
22589399,Mason,2012,Long-wavelength photosensitivity in coral planula larvae.,The Biological bulletin,10.1086/BBLv222n2p88
22413020,Hagedorn,2012,Preserving and using germplasm and dissociated embryonic cells for conserving Caribbean and Pacific coral.,PloS one,10.1371/journal.pone.0033354
22348010,Fogarty,2012,Weak prezygotic isolating mechanisms in threatened Caribbean Acropora corals.,PloS one,10.1371/journal.pone.0030486
22216101,Polato,2011,Gene discovery in the threatened elkhorn coral: 454 sequencing of the Acropora palmata transcriptome.,PloS one,10.1371/journal.pone.0028634
21858132,Sutherland,2011,Human pathogen shown to cause disease in the threatened eklhorn coral Acropora palmata.,PloS one,10.1371/journal.pone.0023468
21818271,Lentz,2011,Evaluating patterns of a white-band disease (WBD) outbreak in Acropora palmata using spatial analysis: a comparison of transect and colony clustering.,PloS one,10.1371/journal.pone.0021830
21701682,Iguchi,2011,Identification of fast-evolving genes in the scleractinian coral Acropora using comparative EST analysis.,PloS one,10.1371/journal.pone.0020140
21633702,Voolstra,2011,Rapid evolution of coral proteins responsible for interaction with the environment.,PloS one,10.1371/journal.pone.0020392
21299104,Settar,2010,"Coral reefs and residents of the U.S. Virgin Islands: a relationship of knowledge, outdoor activities and stewardship.",Revista de biologia tropical,
21059900,Albright,2010,Ocean acidification compromises recruitment success of the threatened Caribbean coral Acropora palmata.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1007273107
20527463,González-Díaz,2010,"High spatial variability of coral, sponges and gorgonian assemblages in a well preserved reef.",Revista de biologia tropical,10.15517/rbt.v58i2.5233
20526374,Sharp,2010,Bacterial acquisition in juveniles of several broadcast spawning coral species.,PloS one,10.1371/journal.pone.0010898
20502527,Wang,2010,Characterization of a group of MITEs with unusual features from two coral genomes.,PloS one,10.1371/journal.pone.0010700
20406294,Looney,2010,"Effects of temperature, nutrients, organic matter and coral mucus on the survival of the coral pathogen, Serratia marcescens PDL100.",Environmental microbiology,10.1111/j.1462-2920.2010.02221.x
20361023,Mao-Jones,2010,How microbial community composition regulates coral disease development.,PLoS biology,10.1371/journal.pbio.1000345
21798197,Portune,2010,Development and heat stress-induced transcriptomic changes during embryogenesis of the scleractinian coral Acropora palmata.,Marine genomics,10.1016/j.margen.2010.03.002
20132278,Sutherland,2010,"Human sewage identified as likely source of white pox disease of the threatened Caribbean elkhorn coral, Acropora palmata.",Environmental microbiology,10.1111/j.1462-2920.2010.02152.x
20095241,Krediet,2009,Catabolite regulation of enzymatic activities in a white pox pathogen and commensal bacteria during growth on mucus polymers from the coral Acropora palmata.,Diseases of aquatic organisms,10.3354/dao02084
20040751,Randall,2009,"Elevated temperature affects development, survivorship, and settlement of the elkhorn coral, Acropora palmata (Lamarck 1816).",The Biological bulletin,10.1086/BBLv217n3p269
22833700,Shearer,2009,Restoration of coral populations in light of genetic diversity estimates.,Coral reefs (Online),10.1007/s00338-009-0520-x
19395569,Krediet,2009,Utilization of mucus from the coral Acropora palmata by the pathogen Serratia marcescens and by environmental and coral commensal bacteria.,Applied and environmental microbiology,10.1128/AEM.00457-09
19317843,Voolstra,2009,The host transcriptome remains unaltered during the establishment of coral-algal symbioses.,Molecular ecology,10.1111/j.1365-294X.2009.04167.x
21585840,Isomura,2008,"Microsatellite loci isolated from the scleractinian coral, Acropora nobilis.",Molecular ecology resources,10.1111/j.1471-8286.2007.02004.x
18298846,Schwarz,2008,"Coral life history and symbiosis: functional genomic resources for two reef building Caribbean corals, Acropora palmata and Montastraea faveolata.",BMC genomics,10.1186/1471-2164-9-97
17631417,Crabbe,2007,Global warming and coral reefs: modelling the effect of temperature on Acropora palmata colony growth.,Computational biology and chemistry,10.1016/j.compbiolchem.2007.05.001
17158464,Vollmer,2007,Restricted gene flow in the Caribbean staghorn coral Acropora cervicornis: implications for the recovery of endangered reefs.,The Journal of heredity,10.1093/jhered/esl057
16703769,Pantos,2006,Bacterial community structure associated with white band disease in the elkhorn coral Acropora palmata determined using culture-independent 16S rRNA techniques.,Diseases of aquatic organisms,10.3354/dao069079
15813778,Baums,2005,"Regionally isolated populations of an imperiled Caribbean coral, Acropora palmata.",Molecular ecology,10.1111/j.1365-294X.2005.02489.x
15348605,Alvarez,2002,Physical and mechanical properties evaluation of Acropora palmata coralline species for bone substitution applications.,Journal of materials science. Materials in medicine,10.1023/a:1014787209506
12077296,Patterson,2002,"The etiology of white pox, a lethal disease of the Caribbean elkhorn coral, Acropora palmata.",Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.092260099
11795170,Guzmán,2001,"[Coral reefs of Bocas del Toro, Panamá: IV. Distribution, structure and conservation state of continental reefs of Peninsula Valiente].",Revista de biologia tropical,
11804422,Rodríguez-Martínez,2001,Necrotic patches affect Acropora palmata (Scleractinia: Acroporidae) in the Mexican Caribbean.,Diseases of aquatic organisms,10.3354/dao047229
10958900,Lirman,2000,"Fragmentation in the branching coral Acropora palmata (Lamarck): growth, survivorship, and reproduction of colonies and fragments.",Journal of experimental marine biology and ecology,10.1016/s0022-0981(00)00205-7
28306807,Tolimieri,1995,Effects of microhabitat characteristics on the settlement and recruitment of a coral reef fish at two spatial scales.,Oecologia,10.1007/BF00333310
2871213,Peters,1986,"Calicoblastic neoplasms in Acropora palmata, with a review of reports on anomalies of growth and form in corals.",Journal of the National Cancer Institute,
28310039,Highsmith,1980,Survival of hurricane-generated coral fragments and a disturbance model of reef calcification/growth rates.,Oecologia,10.1007/BF00346259
17837159,Mesolella,1967,"Zonation of uplifted pleistocene coral reefs on barbados, west indies.","Science (New York, N.Y.)",10.1126/science.156.3775.638
