iteration,stage,reason,missing_classes,studies_drawn
283,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
287,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
292,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
293,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
296,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
298,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
300,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
303,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
304,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
306,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
311,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
312,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
314,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
315,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
322,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
333,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
335,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
337,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
339,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
345,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
349,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
355,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
371,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
375,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
382,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
384,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
390,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
400,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
405,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
411,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
428,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
429,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
430,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
432,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
435,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
447,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
448,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
452,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
457,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
460,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
462,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
464,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
467,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
468,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
469,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
472,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
481,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
488,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
495,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
496,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
501,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
504,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
505,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
507,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
516,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
518,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
532,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
533,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
536,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
537,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
539,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
545,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
548,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
549,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
555,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
558,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
561,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
563,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
566,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
573,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
575,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
577,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
587,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
598,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
606,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
614,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
635,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
636,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
649,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
650,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
652,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
654,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
655,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
657,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
664,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
665,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
670,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
674,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
676,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
678,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
692,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
693,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
698,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
699,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
701,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
704,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
706,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
707,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
710,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
712,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
715,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
724,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
736,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
737,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
738,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
741,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
746,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
747,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
757,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
765,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
768,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
773,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
774,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
775,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
776,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
779,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
782,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
785,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
787,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
790,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
803,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
806,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
808,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
811,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
812,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
821,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
823,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
825,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
837,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
842,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
846,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
847,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
849,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
854,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
855,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
856,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
857,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
859,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
864,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
865,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
869,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
871,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
874,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
886,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
887,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
892,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
893,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
914,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
921,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
922,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
933,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
934,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
936,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
939,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
945,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
946,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
947,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
950,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
953,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
956,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
957,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
960,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
961,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
962,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
964,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
968,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
969,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
970,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
971,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
975,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
979,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
983,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
986,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
990,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
992,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
993,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
995,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1000,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1002,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1004,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1005,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1016,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1018,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1020,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1025,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1026,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1029,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1030,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1033,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1037,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1044,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1045,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
