year,median,mean,ci_lower,ci_upper,pi_lower,pi_upper,scenario,return_interval,label,sim_type,pct_initial_median,pct_initial_mean
2,120.90712929190684,118.93512907531081,86.33003266182543,143.9280477152808,102.8734470429981,132.25179497575508,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,57.57482347233659,56.63577575014801
3,99.03256791712681,97.10428065810486,59.751582324327586,128.62593913148103,77.72399749290372,113.29285716175231,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,47.15836567482229,46.2401336467166
4,84.31355977264218,82.65604195863558,42.9867313951624,119.48455049368772,61.0379909733029,100.87806254453392,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,40.14931417744866,39.36001998030266
5,74.04126114584581,72.77937640402537,31.899265764182005,114.48768101954815,49.44271814595061,92.65053382030413,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,35.25774340278372,34.65684590667875
6,66.60599570622472,65.82448838992354,24.2490283294344,112.37655353555002,41.02679505784168,87.1690372032554,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,31.71714081248796,31.344994471392162
7,61.015144777184716,60.783896847687764,18.771416857270047,112.3270278145028,34.66711163691232,83.51440088266277,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,29.054830846278435,28.94471278461322
8,56.64236266461029,57.025803664309315,14.725953243734761,113.78342989550418,29.685688717735786,81.08487990874346,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,26.972553649814422,27.155144602052054
9,53.08680560236557,54.14673732900216,11.663141811595526,116.36492402548845,25.663632519237225,79.48037334503914,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,25.2794312392217,25.78416063285817
10,11.052111263200182,11.448388298344964,2.051943390900515,26.435368839303557,4.928361528718043,17.305865944640157,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,5.26291012533342,5.451613475402365
11,10.476910570147325,11.048182541930286,1.6437992809036504,27.34543141828974,4.309395292232033,17.15758264138278,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,4.9890050334034886,5.261039305681089
12,9.963588985868988,10.721844346456807,1.3210858304033224,28.378245805640066,3.780286327042199,17.065280697184214,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,4.744566183747137,5.105640164979432
13,9.496230175278953,10.45286891617717,1.0640705019615586,29.51521508682322,3.3234253622440857,17.01075653058998,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,4.522014369180454,4.977556626751033
14,9.064301177305262,10.230205653673675,0.8583446381018314,30.74403010632649,2.926138239538196,16.981712379419683,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,4.316333893954887,4.8715265017493685
15,8.660759288769023,10.04641119344969,0.6930998413112703,32.05685806960355,2.5789463396497116,16.96984492410408,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,4.1241710898900115,4.784005330214137
16,8.28082728917888,9.896455253048645,0.5600544826820268,33.44906562925983,2.2744997811816012,16.96955203158115,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,3.943251090085181,4.712597739546974
17,7.921200703391939,9.776945674338053,0.4527605178283116,34.91831786428116,2.0069152584102716,16.977057050488,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,3.772000334948542,4.655688416351454
18,7.579534783261563,9.685624173324083,0.3661384346694294,36.463942990175056,1.7713583243500861,16.989815970808955,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,3.6093022777436015,4.612201987297182
19,7.254112631267262,9.621037740512607,0.2961532915428153,38.08648533130703,1.5637741554784057,17.006116367599205,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,3.4543393482225055,4.581446543101241
20,1.5320883048074996,2.114307092210658,0.052862758976242055,8.778951720205246,0.30464875574552885,3.7564652114696186,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.7295658594321426,1.0068129010526943
21,1.4666508825147972,2.111383597136016,0.04276916726201019,9.172011713009004,0.26900988787280344,3.7609454766701367,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.6984051821499034,1.0054207605409602
22,1.4040964790123809,2.114068142016648,0.03460535220758111,9.583419845228116,0.23755508978494916,3.7656673208630465,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.6686173709582766,1.0066991152460227
23,1.3442666380526407,2.1224178522214534,0.028001305467356657,10.013857610096165,0.20978706834066624,3.7705536391805916,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.6401269705012574,1.0106751677245016
24,1.2870224795152159,2.1365498155246887,0.022658428448092037,10.464084985191985,0.18527010159844723,3.7755526691630745,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.612867847388198,1.0174046740593756
25,1.2322392738983343,2.156636904748674,0.01833554186616388,10.934929984090896,0.16362142744388306,3.780629674171314,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.5867806066182545,1.0269699546422257
26,1.1798028887479335,2.182905996961041,0.014837730025774497,11.42728192285158,0.14450421634021665,3.785761351076178,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.5618108994037778,1.0394790461719243
27,1.1296074419115105,2.215637955110294,0.012007403834823887,11.942087326447151,0.12762170776002965,3.790932071926639,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.5379083056721479,1.0550656929096638
28,1.08155373324744,2.2551689707227975,0.009717118310795792,12.480347719173306,0.11271223470047857,3.796131359368122,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.5150255872606858,1.073889986058475
29,1.0355481790657306,2.3018930204216583,0.007863787523366587,13.043118768409855,0.09954494972760188,3.8013521915122173,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.49311818050749073,1.096139533534123
30,0.21877153639043131,0.5199018668262453,0.001404198814890038,3.0077460857021148,0.019398391111741454,0.8399110164095396,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.10417692209068158,0.24757231753630726
31,0.20946664518220892,0.533701372069215,0.0011364052682066453,3.1434828470539107,0.017132303278166984,0.8410697116999021,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.09974602151533757,0.25414351050915
32,0.20055774457075187,0.549433828833959,9.196924571487271e-4,3.285399301761642,0.015130953806135173,0.8422309626450124,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.09550368789083423,0.2616351565875995
33,0.19202790027142277,0.567246686604872,7.443147001058325e-4,3.433777848668366,0.01336340722903557,0.8433944582770767,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.09144185727210609,0.27011746981184376
34,0.18386093159218037,0.5873058876655083,6.023862397970632e-4,3.5889142243369294,0.011802345865724055,0.84455999094701,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.08755282456770493,0.2796694703169087
35,0.17604136739397652,0.6097976296555849,4.8752612084580684e-4,3.7511180345957817,0.010423645557430333,0.8457274222525804,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.08382922256856025,0.2903798236455166
36,0.16855440822956744,0.6349303634180871,3.945709302997475e-4,3.92071333757645,0.009206001639000367,0.8468966601985953,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.08026400391884164,0.302347792103851
37,0.16138589285238975,0.6629370480288594,3.193424092675463e-4,4.09803927266354,0.008130599000963853,0.8480676438882445,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.07685042516780465,0.31568430858517116
38,0.15452226791866636,0.6940776888159158,2.584594411278976e-4,4.283450731915728,0.007180820929104152,0.8492403332633517,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.07358203234222208,0.3305131851504361
39,0.1479505601116584,0.7286421881880677,2.091859345254921e-4,4.477319072035564,0.00634199209543812,0.850414702228972,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.07045264767221829,0.34697247056574654
40,0.03125642980384666,0.16922567261233076,3.735717377421216e-5,1.03263322334199,0.0012358749292396152,0.18790057887095415,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.014884014192307931,0.08058365362491941
41,0.02992712208441833,0.17858503390150116,3.0235879787865557e-5,1.0794027574689231,0.0010915061484380398,0.18816043085613343,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.01425101051638968,0.08504049233404817
42,0.02865434960321113,0.1889388264558544,2.447233764854049e-5,1.1283075887897138,9.640018671795545e-4,0.18842064605061196,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.013644928382481492,0.08997086974088304
43,0.027435707698716935,0.20038535858323395,1.9807631402618163e-5,1.1794459341099417,8.513920397620264e-4,0.1886812236924176,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.013064622713674732,0.0954215993253495
44,0.026268894065254608,0.21303401620728238,1.6032227789109462e-5,1.2329205615070935,7.519367573865203e-4,0.18894216343593043,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.012508997173930766,0.10144476962251543
45,0.025151704368931552,0.2270065028931778,1.2976555833610098e-5,1.2888390019427713,6.640993626080865e-4,0.18920346521466214,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.011977002080443597,0.10809833471103705
46,0.024082028061140598,0.24243822669812698,1.0503383849648533e-5,1.3473137709605258,5.865227052263329e-4,0.18946512914933253,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.011467632410066951,0.11544677461815571
47,0.023057844377208078,0.25947985110773886,8.501650832553048e-6,1.4084626008950054,5.180081723280349e-4,0.18972715548629146,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.010979925893908608,0.12356183386082803
48,0.02207721850976728,0.27829902941954576,6.8814747076732005e-6,1.4724086840531654,4.574971682286407e-4,0.1899895445562697,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.010512961195127277,0.13252334734264085
49,0.021138297947791804,0.29908234428622316,5.570112868585806e-6,1.5392809273605388,4.040547580140643e-4,0.19025229674674862,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.010065856165615145,0.14242016394582055
50,0.00446573420772442,0.07105646630829722,9.948277350532836e-7,0.35506760605537224,7.873888252000494e-5,0.04203657327198315,severe_bleaching,10,severe_bleaching_every_10yr,monte_carlo,0.0021265400989163904,0.03383641252776058
0,210,210,210,210,210,210,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,100,100
1,154.66522041448889,153.42647584183686,135.22632383016682,170.08104360896417,144.23349975718338,161.16079952136448,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,73.65010495928043,73.06022659135088
2,120.74753386903619,119.20781892561129,92.30291638923151,146.01745128306655,105.00868630395937,131.10275153155345,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,57.49882565192199,56.7656280598149
3,98.83654863144247,97.39334924226851,66.05767765896589,131.43387499302298,80.15636395354258,111.8196007526319,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,47.06502315782975,46.3777853534612
4,84.09111719558419,82.92913986015724,49.13878664442924,122.97111459003074,63.59808561435857,99.13279640945517,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,40.04338914075438,39.490066600074876
5,73.797162528791,73.01712374341638,37.70357624635231,118.67408635655123,52.04836244278616,90.65125227328178,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,35.14150596609096,34.77005892543637
6,66.34257670312877,66.01350387341893,29.634922296442053,117.31993514941315,43.63482412451006,84.9167626878813,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,31.59170319196608,31.435001844485207
7,60.733709039558924,60.91362376521071,23.719735259576833,118.10615446324726,37.25153640231412,81.00240030141539,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,28.920813828361393,29.006487507243193
8,56.34386842738081,57.08717280896557,19.239565916742492,120.49045132214786,32.22808785225804,78.30360832115281,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,26.830413536848006,27.184368004269317
9,52.77217948977779,54.13167032824222,15.755138079628836,124.10070418602746,28.149222471154392,76.42003208577289,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,25.129609280846566,25.776985870591535
10,49.75991459088496,51.786890808713224,12.988690955946437,128.6803062882655,24.752239349882807,75.08426299162572,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,23.695197424230933,24.660424194625342
11,47.13904067075184,49.882961691385184,10.758087482873478,134.0529711515645,21.866995170898207,74.11688996271323,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,22.447162224167545,23.753791281611992
12,44.79983623473011,48.30807870959579,8.93921395695809,140.09910952037407,19.38020190446373,73.3972969428022,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,21.33325534987148,23.003847004569426
13,42.67022854984967,46.98809018906528,7.444172845492706,146.73954274931268,17.213942335472236,72.84434479572047,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,20.319156452309365,22.37528104241204
14,40.70250811093768,45.873448584011804,6.208421931050567,153.92409457970376,15.312639299342662,72.4034593999789,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,19.382146719494134,21.84449932571991
15,38.86475324734831,44.930812368625226,5.183039764506651,161.6235323713737,13.63509927112315,72.03795473762948,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,18.507025355880145,21.395624937440584
16,37.13528571318639,44.13761528653863,4.329960840400758,169.82385393042935,12.14961930186314,71.72318772522108,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,17.683469387231614,21.017912041208874
17,35.49908433095717,43.478542445292035,3.618952831169361,178.52223551786562,10.830950329775995,71.44261784417462,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,16.904325871884364,20.704067831091447
18,33.94546551818599,42.943237678771936,3.0256320569682438,187.7241632178648,9.658389096848023,71.18515148431918,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,16.164507389612375,20.449160799415207
19,32.46658368153721,42.52480885958997,2.530110612866334,197.44140952245516,8.61455876944285,70.94335343453704,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,15.460277943589146,20.249908980757127
20,6.852501961850505,9.315445104142446,0.4668965412010607,45.82622270306888,1.6955833152168251,15.602414347936218,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,3.2630961723097642,4.435926240067832
21,6.555490414997227,9.272189978553213,0.3905217676749,48.20957704842123,1.5126856068900691,15.553043383388314,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,3.1216621023796316,4.415328561215816
22,6.27174584908713,9.252941356566769,0.32666084572479404,50.720068014471664,1.349601223408305,15.504802789258529,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.986545642422443,4.40616255074608
23,6.000535057453176,9.25770971897773,0.27325440992447164,53.36353546310262,1.2041497953444618,15.457363243191798,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.857397646406274,4.408433199513205
24,5.741214061338191,9.286724648812694,0.22858593935404228,56.14635902460868,1.0744044723462287,15.410504476841611,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.7339114577800907,4.42224983276795
25,5.493203632071488,9.340411112405516,0.19122296244465611,59.07541726849752,0.9586571091820163,15.364079166627189,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.615811253367375,4.447814815431198
26,5.2559732490646685,9.419375523992374,0.15996908471746757,62.15806496150409,0.8553902155032105,15.31798875994036,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.502844404316509,4.4854169161868445
27,5.029030493756939,9.524398620465691,0.13382453801184604,65.40212345563383,0.7632537322603172,15.272167300583236,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.3947764255985424,4.535427914507472
28,4.8119139486781535,9.656433216791424,0.11195355937701489,68.8158807040676,0.681045390371347,15.226570611593864,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.2913875946086444,4.59830153180544
29,4.604188359614861,9.816605594881038,0.09365731552297532,72.40809843939867,0.607693831722019,15.181169063932083,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.1924706474356483,4.674574092800494
30,4.405441262289836,10.00621972652949,0.0783513723012214,76.18802478640292,0.5422439350481804,15.13594274402538,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.0978291725189693,4.764866536442615
31,4.2152805601959455,10.226763826696834,0.06554691358532927,80.16541110614838,0.483843953652517,15.09087822537062,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,2.0072764572361645,4.869887536522302
32,4.033332723575532,10.479918930280492,0.05483506717203358,84.35053224118704,0.43173417674090636,15.045966412308776,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.9206346302740627,4.990437585847853
33,3.859241397331776,10.767569318231583,0.045873813331022154,88.75420959675607,0.3852368946173796,15.001201100215484,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.837733998729417,5.127413961062659
34,3.692666281304451,11.091814709920152,0.03837704463103447,93.38783668167947,0.3437474940302394,14.956578014256898,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.7584125149068812,5.2818165285334056
35,3.5332821949052216,11.454984202716863,0.03210542026061823,98.26340686730649,0.30672654205912314,14.912094167748458,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.6825153309072485,5.454754382246126
36,3.380778269278138,11.859651986403803,0.026858718662652714,103.39354321920517,0.2736927401897805,14.867747433911266,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.6098944139419706,5.647453326858953
37,3.2348572301572016,12.308654895535813,0.022469441989850316,108.79153032570517,0.24421664775539437,14.823536260087545,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.5404082048367627,5.861264235969435
38,3.0952347474358346,12.80511189137418,0.01879746689087915,114.47134809773324,0.21791508764156425,14.779459477043842,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.4739213083027785,6.0976723292258
39,2.9616388357109735,13.352445589256062,0.015725570121622727,120.44770755136614,0.19444615824180206,14.7355161717345,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,1.410304207481416,6.358307423455267
