colony_uid,study,region,population_type,n_intervals,followup_years,death_event,shrink_events,ever_shrunk,mean_timeline_events,prop_acute_exposure
NOAA_survey::GR2-t844,NOAA_survey,Florida Keys,Natural colony,6,5.5452054794520595,1,3,1,2.6666666666666665,0
NOAA_survey::GR2-t845,NOAA_survey,Florida Keys,Natural colony,2,2.087671232876714,1,0,0,2,0
NOAA_survey::GR2-t846,NOAA_survey,Florida Keys,Natural colony,6,6.076712328767128,1,3,1,2.6666666666666665,0
NOAA_survey::GR2-t847,NOAA_survey,Florida Keys,Natural colony,7,6.868493150684936,1,4,1,2.857142857142857,0.14285714285714285
NOAA_survey::GR2-t848,NOAA_survey,Florida Keys,Natural colony,1,1.1013698630137,0,1,1,2,0
NOAA_survey::GR2-t849,NOAA_survey,Florida Keys,Natural colony,1,1.1013698630137,0,0,0,2,0
NOAA_survey::GR2-t850,NOAA_survey,Florida Keys,Natural colony,5,5.106849315068498,1,2,1,2.6,0
NOAA_survey::GR2-t884,NOAA_survey,Florida Keys,Natural colony,2,2.052054794520551,1,2,1,3,0
NOAA_survey::GR2-t885,NOAA_survey,Florida Keys,Natural colony,3,3.019178082191784,0,2,1,3,0
NOAA_survey::GR2-t886,NOAA_survey,Florida Keys,Natural colony,2,3.019178082191784,1,1,1,3,0
NOAA_survey::GR2-t886,NOAA_survey,Florida Keys,Restoration fragment,1,1.12328767123288,0,0,0,3,0
NOAA_survey::GR3-t196,NOAA_survey,Florida Keys,Natural colony,1,1.09315068493151,1,0,0,4,1
NOAA_survey::GR3-t197,NOAA_survey,Florida Keys,Natural colony,1,1.09315068493151,1,0,0,4,1
NOAA_survey::GR3-t198,NOAA_survey,Florida Keys,Natural colony,1,1.09315068493151,1,0,0,4,1
NOAA_survey::GR3-t397,NOAA_survey,Florida Keys,Natural colony,7,6.734246575342473,1,3,1,2.857142857142857,0.14285714285714285
NOAA_survey::GR3-t398,NOAA_survey,Florida Keys,Natural colony,8,10.227397260273975,1,6,1,2.875,0.25
NOAA_survey::GR3-t412,NOAA_survey,Florida Keys,Natural colony,4,3.997260273972606,1,1,1,3.25,0.25
NOAA_survey::GR3-t468,NOAA_survey,Florida Keys,Natural colony,6,7.830136986301373,0,3,1,2.6666666666666665,0.5
NOAA_survey::GR3-t870,NOAA_survey,Florida Keys,Natural colony,6,6.068493150684934,1,4,1,3,0.16666666666666666
NOAA_survey::GR3-t871,NOAA_survey,Florida Keys,Natural colony,4,4.005479452054794,0,2,1,2.75,0
NOAA_survey::GR3-t872,NOAA_survey,Florida Keys,Natural colony,4,4.005479452054794,0,1,1,2.75,0
NOAA_survey::GR3-t873,NOAA_survey,Florida Keys,Natural colony,4,4.005479452054794,0,2,1,2.75,0
NOAA_survey::GR3-t874,NOAA_survey,Florida Keys,Natural colony,6,6.068493150684934,1,1,1,3,0.16666666666666666
NOAA_survey::GR3-t875,NOAA_survey,Florida Keys,Natural colony,3,3.01917808219178,0,2,1,2.6666666666666665,0
NOAA_survey::GR3-t876,NOAA_survey,Florida Keys,Natural colony,6,6.068493150684934,1,4,1,3,0.16666666666666666
NOAA_survey::GR3-t877,NOAA_survey,Florida Keys,Natural colony,6,6.068493150684934,1,4,1,3,0.16666666666666666
NOAA_survey::GR3-t878,NOAA_survey,Florida Keys,Natural colony,1,0.991780821917808,1,0,0,2,0
NOAA_survey::GR3-t879,NOAA_survey,Florida Keys,Restoration fragment,1,0.991780821917808,0,0,0,2,0
NOAA_survey::GR3-t880,NOAA_survey,Florida Keys,Natural colony,1,0.991780821917808,1,0,0,2,0
NOAA_survey::GR3-t881,NOAA_survey,Florida Keys,Natural colony,10,11.835616438356174,0,7,1,2.7,0.3
NOAA_survey::GR3-t901,NOAA_survey,Florida Keys,Natural colony,2,2.005479452054799,1,1,1,2,0
