region,location,plot,site_id,latitude,longitude,n_site_years,total_survival_obs,mean_survival_rate,mean_positive_growth_rate,first_year,last_year
Florida Keys,AAA,NA,NA,25.1685,-80.26681,1,40,0.475,0.8437935843793585,2016,2016
Florida Keys,AAA,NA,NA,25.1686,-80.26677,1,40,0.275,0.8437935843793585,2016,2016
Florida Keys,AAA,NA,NA,25.16864,-80.26669,1,40,0.525,0.8437935843793585,2016,2016
Florida Keys,French Reef,NA,NA,25.0342,-80.34897,1,40,0.75,0.8437935843793585,2016,2016
Florida Keys,North Dry Rocks,NA,NA,25.12965,-80.29367,1,40,0.75,0.8437935843793585,2016,2016
Florida Keys,North Dry Rocks,NA,NA,25.12983,-80.29369,1,40,0.75,0.8437935843793585,2016,2016
Florida Keys,North Dry Rocks,NA,NA,25.13002,-80.29386,1,40,0.725,0.8437935843793585,2016,2016
Florida Keys,Pickles Reef,NA,NA,24.98573,-80.41569,1,40,0.85,0.8437935843793585,2016,2016
Florida Keys,Pickles Reef,NA,NA,24.98575,-80.41558,1,40,0.925,0.8437935843793585,2016,2016
Florida Keys,Pickles Reef,NA,NA,24.98607,-80.41506,1,40,0.75,0.8437935843793585,2016,2016
Florida Keys,West Sambo Key,WS2,Florida Keys.West Sambo Key.WS2,24.47987,-81.71284,4,32,0.71875,0.25,2010,2014
Florida Keys,French Reef,NA,NA,25.03342,-80.35006,1,30,0.7,0.8437935843793585,2015,2015
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,12.267807,-69.128565,7,28,0.7857142857142857,0.47619047619047616,2007,2013
Florida Keys,French Reef,NA,NA,25.03331,-80.35008,1,28,0.7857142857142857,0.8437935843793585,2015,2015
Florida Keys,Molasses Reef,NA,NA,25.01006,-80.37362,1,28,0.5,0.8437935843793585,2015,2015
Florida Keys,Pickles Reef,NA,NA,24.98588,-80.41554,1,28,0.32142857142857145,0.8437935843793585,2015,2015
Florida Keys,Pickles Reef,NA,NA,24.98609,-80.41514,1,28,0.42857142857142855,0.8437935843793585,2015,2015
Florida Keys,Molasses Reef,NA,NA,25.01,-80.37381,1,27,0.4444444444444444,0.8437935843793585,2015,2015
Florida Keys,Pickles Reef,NA,NA,24.98577,-80.41569,1,27,0.5925925925925926,0.8437935843793585,2015,2015
Florida Keys,French Reef,NA,NA,25.03333,-80.35012,1,26,0.5769230769230769,0.8437935843793585,2015,2015
Florida Keys,Molasses Reef,NA,NA,25.00984,-80.37395,1,26,0.34615384615384615,0.8437935843793585,2015,2015
Florida Keys,Key Largo Dry Rocks,KL2,Florida Keys.Key Largo Dry Rocks.KL2,25.122897,-80.297886,4,24,0.5,0.3333333333333333,2004,2007
Navassa,LuLu Bay,LB1,Navassa.LuLu Bay.LB1,18.396638,-75.018962,2,24,1,0.7916666666666666,2009,2012
Navassa,LuLu Bay,LB2,Navassa.LuLu Bay.LB2,18.396387,-75.018835,2,23,1,0.7391304347826086,2009,2012
Navassa,Northwest Point,NW1,Navassa.Northwest Point.NW1,18.413855,-75.029866,2,23,0.8695652173913043,0.7368421052631579,2009,2012
Navassa,Northwest Point,NW3,Navassa.Northwest Point.NW3,18.413687,-75.029231,2,23,0.782608695652174,0.8333333333333334,2009,2012
Florida Keys,Sombrero Reef,SR2,Florida Keys.Sombrero Reef.SR2,24.62592,-81.11045,4,21,0.9047619047619048,0.6428571428571429,2010,2014
Mexican Caribbean,Cuevones Reef,NA,NA,21.15,-86.74,1,19,1,0.8437935843793585,2016,2016
Florida Keys,Sombrero Reef,SR3,Florida Keys.Sombrero Reef.SR3,24.62592,-81.11045,4,18,0.8888888888888888,0.36363636363636365,2011,2014
Mexican Caribbean,Puerto Morelos Nursery,NA,NA,20.88,-86.85,1,17,1,0.8437935843793585,2016,2016
US Virgin Islands,SFR,NA,NA,17.78408,-64.61416,2,17,0.7647058823529411,0.8437935843793585,2020,2021
Mexican Caribbean,Picudas Reef,NA,NA,20.88,-86.85,1,16,1,0.8437935843793585,2021,2021
US Virgin Islands,NWR,NA,NA,17.79081,-64.62122,2,15,0.6,0.8437935843793585,2020,2021
US Virgin Islands,NER,NA,NA,17.78967,-64.61143,2,14,0.5714285714285714,0.8437935843793585,2020,2021
Dry Tortugas,PLS,NA,NA,24.69355,-82.7728,1,12,1,0.8437935843793585,2019,2019
Dry Tortugas,PLW,NA,NA,24.7028,-82.79883,1,12,1,0.8437935843793585,2019,2019
Florida Keys,French Reef,FR4,Florida Keys.French Reef.FR4,25.03438,-80.34888,1,12,0.8333333333333334,1,2022,2022
Florida Keys,CRK,NA,NA,24.90908,-80.52665,1,10,0.9,0.8437935843793585,2019,2019
Florida Keys,SMK,NA,NA,24.62687,-81.10893,1,10,0.4,0.8437935843793585,2019,2019
Florida Keys,FWY,NA,NA,25.59047,-80.0956,1,9,0.6666666666666666,0.8437935843793585,2019,2019
Navassa,Northwest Point,NW2,Navassa.Northwest Point.NW2,18.413941,-75.029636,2,9,1,0.4444444444444444,2009,2012
Florida Keys,Little Elbow,LE2,Florida Keys.Little Elbow.LE2,25.15391,-80.2678,1,1,0,NA,2024,2024
