iteration,stage,reason,missing_classes,studies_drawn
1618,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1651,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1662,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1755,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1836,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1838,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1839,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1846,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1882,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1906,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1907,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1970,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
