title,authors,year,journal,doi,wos_id
"Shifting white pox aetiologies affecting Acropora palmata in the Florida Keys, 1994-2014","Sutherland, KP; Berry, B; Porter, JW","2016","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","WOS:000371148300003"
"Genotype, Nursery Design, and Depth Influence the Growth of Acropora cervicornis Fragments","Maneval, P; Jacoby, CA; Frazer, TK","2021","FRONTIERS IN MARINE SCIENCE","","WOS:000661902000001"
"Population status of Acropora palmata (Lamarck, 1816) in Cuban coral reefs","Caballero-Aragón, H; Perera-Valderrama, S; Armenteros, M","2020","REGIONAL STUDIES IN MARINE SCIENCE","","WOS:000519571000040"
"Condition of remote reefs off southwest Cuba","Alcolado, PM; Morgan, IE; Hernández, M","2010","CIENCIAS MARINAS","","WOS:000279513600006"
"A glance at the chemistry of calicoblastic epithelioma in Acropora valida","Ghazilou, A; Ershadifar, H; Kor, K","2023","THALASSAS","","WOS:000836370200002"
"Variation in susceptibility among three Caribbean coral species and their algal symbionts indicates the threatened staghorn coral, Acropora cervicornis, is particularly susceptible to elevated nutrients and heat stress","Palacio-Castro, AM; Dennison, CE; Baker, AC","2021","CORAL REEFS","","WOS:000678245200001"
"Metabolomic profiles differ among unique genotypes of a threatened Caribbean coral","Lohr, KE; Khattri, RB; Patterson, JT","2019","SCIENTIFIC REPORTS","","WOS:000464495700015"
"Diurnal and nocturnal transcriptomic variation in the Caribbean staghorn coral, Acropora cervicornis","Hemond, EM; Vollmer, SV","2015","MOLECULAR ECOLOGY","","WOS:000360445700010"
"Corrected western Atlantic sea-level curve for the last 11,000 years based on calibrated 14C dates from Acropora palmata framework and intertidal mangrove peat","Toscano, MA; Macintyre, IG","2003","CORAL REEFS","","WOS:000185688300009"
"Branching dynamics of transplanted colonies of the threatened coral Acropora cervicornis Morphogenesis, complexity, and modeling","Mercado-Molina, AE; Ruiz-Diaz, CP; Sabat, AM","2016","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000379370700013"
"Coral biodiversity and bio-construction in the northern sector of the mesoamerican reef system","Rodríguez-Zaragoza, FA; Arias-González, JE","2015","FRONTIERS IN MARINE SCIENCE","","WOS:000485324300017"
"High-resolution aerial imagery reveals that the distribution and arrangement of Acropora palmata patches determine their resistance to hurricane impacts","de Hoyos-Jiménez, C; Birkart, LV; alvarez-Filip, L","2025","CORAL REEFS","","WOS:001466205200001"
"The role of in hospite zooxanthellae photophysiology and reef chemistry on elevated pCO2 effects in two branching Caribbean corals: Acropora cervicornis and Porites divaricata","Bedwell-Ivers, HE; Koch, MS; Manfrino, C","2017","ICES JOURNAL OF MARINE SCIENCE","","WOS:000404450100022"
"Compound effects of thermal stress and tissue abrasion on photosynthesis and respiration in the reef-building coral Acropora cervicornis (Lamarck, 1816)","Paradis, BT; Henry, RP; Chadwick, NE","2019","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000497257000002"
"The significance of coral disease epizootiology for coral reef conservation","Green, EP; Bruckner, AW","2000","BIOLOGICAL CONSERVATION","","WOS:000090138600009"
"Population trajectory and stressors of Acropora palmata sites in the Florida Keys","Neely, KL; Macaulay, KA; Lunz, KS","2022","FRONTIERS IN MARINE SCIENCE","","WOS:000876997000001"
"Direct histone proteoform profiling of the unannotated, endangered coral Acropora cervicornis","Fuller, CN; Mansoor, S; Fernandez-Lima, F","2025","NUCLEIC ACIDS RESEARCH","","WOS:001540730100001"
"Coral diseases are major contributors to coral mortality in Shingle Island, Gulf of Mannar, southeastern India","Thinesh, T; Raj, KD; Edward, JKP","2013","DISEASES OF AQUATIC ORGANISMS","","WOS:000324887300008"
"RECOVERY OF ACROPORA PALMATA IN CURACAO: A COMPARISON WITH THE FLORIDA KEYS","Bright, AJ; Williams, DE; Miller, MW","2013","BULLETIN OF MARINE SCIENCE","","WOS:000323086200008"
"Integrating 3D-Printed and Natural Staghorn Coral (Acropora cervicornis) Restoration Enhances Fish Assemblages and Their Ecological Functions","Hernández-Delgado, EA; Fonseca-Miranda, JS; Suleimán-Ramos, SE","2025","DIVERSITY-BASEL","","WOS:001535802500001"
"Mortality, recovery, and community shifts of scleractinian corals in Puerto Rico one decade after the 2005 regional bleaching event","García-Sais, JR; Williams, SM; Amirrezvani, A","2017","PEERJ","","WOS:000406376700004"
"Clonal diversity impacts coral cover in Acropora cervicornisthickets: Potential relationships between density, growth, and polymorphisms","Drury, C; Greer, JB; Lirman, D","2019","ECOLOGY AND EVOLUTION","","WOS:000466104200018"
"How old are you? Genet age estimates in a clonal animal","Devlin-Durante, MK; Miller, MW; Baums, IB","2016","MOLECULAR ECOLOGY","","WOS:000387659300004"
"Picture of health: evaluating an accessible method for quantifying coral thermal tolerance using photographic color analysis","Hackerott, S; Gregory, LE; Eirin-Lopez, JM","2025","CORAL REEFS","","WOS:001512710100001"
"Possible Return of Acropora cervicornis at Pulaski Shoal, Dry Tortugas National Park, Florida","Lidz, BH; Zawada, DG","2013","JOURNAL OF COASTAL RESEARCH","","WOS:000316162400002"
"Assessment of Elkhorn Coral Populations and Associated Herbivores in Akumal, Mexico","Mudge, L; Alves, C; Bruno, J","2019","FRONTIERS IN MARINE SCIENCE","","WOS:000495730800001"
"Prevalence of Diseases in Scleractinian Corals of the Southern Caribbean of Costa Rica","Esquivel, SVR; Quesada-Perez, F; Alvarado, JJ","2025","CARIBBEAN JOURNAL OF SCIENCE","","WOS:001533647700015"
"The reproductive seasonality and gametogenic cycle of Acropora cervicornis off Broward County, Florida, USA","Vargas-Angel, B; Colley, SB; Thomas, JD","2006","CORAL REEFS","","WOS:000235716200019"
"Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues","Quinlan, ZA; Bennett, MJ; Kelly, LW","2023","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","WOS:001085409700010"
"Acropora coral colonies as microhabitats for sponges in Tayrona National Natural Park, Colombian Caribbean","Pineda-Munive, EM; García-Urueña, RdP; Zea, S","2017","MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE","","WOS:000394580200007"
"Lost opportunities: Coral recruitment does not translate to reef recovery in the Florida Keys","van Woesik, R; Scott, WJ; Aronson, RB","2014","MARINE POLLUTION BULLETIN","","WOS:000345489800025"
"Differential susceptibility of reef-building corals to deoxygenation reveals remarkable hypoxia tolerance","Johnson, MD; Swaminathan, SD; Altieri, AH","2021","SCIENTIFIC REPORTS","","WOS:000724479000004"
"No two reefs are created equal: fine-scale population structure in the threatened coral species Acropora palmata and A. cervicornis","Reyes, JG; Schizas, NV","2010","AQUATIC BIOLOGY","","WOS:000280768200008"
"Diel patterns of symbiont expulsion in Caribbean reef corals are coral species-dependent and driven by symbiont load and photosynthetic performance","Yeager, EA; Wen, ADE; Baker, AC","2025","CORAL REEFS","","WOS:001434542500001"
"Bio-optical signatures of in situ photosymbionts predict bleaching severity prior to thermal stress in the Caribbean coral species Acropora palmata","Hoadley, KD; Lowry, S; Muller, EM","2024","CORAL REEFS","","WOS:001145191400001"
"Flattening of Caribbean coral reefs: region-wide declines in architectural complexity","Alvarez-Filip, L; Dulvy, NK; Watkinson, AR","2009","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","WOS:000267881500020"
"Ecological condition of coral reef assemblages in the Cuban Archipelago","Aragon, HC; Armenteros, M; Menendez, PMA","2019","MARINE BIOLOGY RESEARCH","","WOS:000468240800006"
